Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Giorgio Chiellini,Italy,2004,Football,0,0,1,1
Cristiane,Brazil,2004,Football,0,1,0,1
Kelly Cristina,Brazil,2004,Football,0,1,0,1
Heather O'Reilly,United States,2004,Football,1,0,0,1
Clément Beaud,Cameroon,2000,Football,1,0,0,1
Samuel Eto'o,Cameroon,2000,Football,1,0,0,1
Solveig Gulbrandsen,Norway,2000,Football,1,0,0,1
Albert Meyong Ze,Cameroon,2000,Football,1,0,0,1
Mao Asada,Japan,2010,Figure Skating,0,1,0,1
Kim Yeon-A,South Korea,2010,Figure Skating,1,0,0,1
Yevgeny Plyushchenko,Russia,2002,Figure Skating,0,1,0,1
Travis Mayer,United States,2002,Freestyle Skiing,0,1,0,1
Olha Zhovnir,Ukraine,2008,Fencing,1,0,0,1
Renal Ganeyev,Russia,2004,Fencing,0,0,1,1
Mariel Zagunis,United States,2004,Fencing,1,0,0,1
Dennis Bauer,Germany,2000,Fencing,0,0,1,1
Brice Guyart,France,2000,Fencing,1,0,0,1
Li Na,China,2000,Fencing,0,0,1,1
Kristian Ipsen,United States,2012,Diving,0,0,1,1
Pandelela Pamg,Malaysia,2012,Diving,0,0,1,1
Qiu Bo,China,2012,Diving,0,1,0,1
Wang Hao,China,2012,Diving,1,0,0,1
Patrick Hausding,Germany,2008,Diving,0,1,0,1
Alexandre Despatie,Canada,2004,Diving,0,1,0,1
Philip Hindes,Great Britain,2012,Cycling,1,0,0,1
Mikhail Ignatyev,Russia,2004,Cycling,1,0,0,1
Miriam Gössner,Germany,2010,Cross Country Skiing,0,1,0,1
Josef Dostál,Czech Republic,2012,Canoeing,0,0,1,1
René Poulsen,Denmark,2008,Canoeing,0,1,0,1
Frank Montieth,Cuba,2004,Baseball,1,0,0,1
Lee Seung-Ho,South Korea,2000,Baseball,0,0,1,1
Mavzuna Choriyeva,Tajikistan,2012,Boxing,0,0,1,1
Teymur M?mm?dov,Azerbaijan,2012,Boxing,0,0,1,1
Roniel Iglesias,Cuba,2008,Boxing,0,0,1,1
Bakhodirdzhon Sultanov,Uzbekistan,2004,Boxing,0,0,1,1
Cristian Bejarano,Mexico,2000,Boxing,0,0,1,1
Guillermo Rigondeaux,Cuba,2000,Boxing,1,0,0,1
Ricardo Williams Jr.,United States,2000,Boxing,0,1,0,1
Vüqar Mursal ?l?kb?rov,Azerbaijan,2000,Boxing,0,0,1,1
Xue Chen,China,2008,Beach Volleyball,0,0,1,1
Anthony Davis,United States,2012,Basketball,1,0,0,1
LeBron James,United States,2004,Basketball,0,0,1,1
Lauren Jackson,Australia,2000,Basketball,0,1,0,1
Lee Yong-Dae,South Korea,2008,Badminton,1,0,0,1
Chen Ding,China,2012,Athletics,1,0,0,1
Kirani James,Grenada,2012,Athletics,1,0,0,1
Deon Lendore,Trinidad and Tobago,2012,Athletics,0,0,1,1
Luguelín Santos,Dominican Republic,2012,Athletics,0,1,0,1
Keshorn Walcott,Trinidad and Tobago,2012,Athletics,1,0,0,1
Aleksandra Fedoriva,Russia,2008,Athletics,1,0,0,1
Asbel Kiprop,Kenya,2008,Athletics,1,0,0,1
Blessing Okagbare,Nigeria,2008,Athletics,0,0,1,1
Agnes Osazuwa,Nigeria,2008,Athletics,0,0,1,1
Bobby-Gaye Wilkins,Jamaica,2008,Athletics,0,0,1,1
Jaroslav Bába,Czech Republic,2004,Athletics,0,0,1,1
Tirunesh Dibaba,Ethiopia,2004,Athletics,0,0,1,1
Eliud Kipchoge,Kenya,2004,Athletics,0,0,1,1
Brimin Kipruto,Kenya,2004,Athletics,0,1,0,1
Véronique Mang,France,2004,Athletics,0,0,1,1
Sanya Richards-Ross,United States,2004,Athletics,1,0,0,1
Nduka Awazie,Nigeria,2000,Athletics,1,0,0,1
Olesya Zykina,Russia,2000,Athletics,0,0,1,1
Im Dong-Hyeon,South Korea,2004,Archery,1,0,0,1
Liu Ming-Huang,Chinese Taipei,2004,Archery,0,1,0,1
Yuan Shu-Chi,Chinese Taipei,2004,Archery,0,0,1,1
Sun Yang,China,2012,Swimming,2,1,1,4
An Hyeon-Su,South Korea,2006,Short-Track Speed Skating,3,0,1,4
Janica Kostelic,Croatia,2002,Alpine Skiing,3,1,0,4
Yannick Agnel,France,2012,Swimming,2,1,0,3
Emily Seebohm,Australia,2012,Swimming,1,2,0,3
Steph Rice,Australia,2008,Swimming,3,0,0,3
Kirsty Coventry,Zimbabwe,2004,Swimming,1,1,1,3
Jodie Henry,Australia,2004,Swimming,3,0,0,3
Otylia Jedrzejczak,Poland,2004,Swimming,1,2,0,3
Lee Jeong-Su,South Korea,2010,Short-Track Speed Skating,2,1,0,3
Wang Meng,China,2006,Short-Track Speed Skating,1,1,1,3
Gregor Schlierenzauer,Austria,2010,Ski Jumping,1,0,2,3
Cheng Fei,China,2008,Gymnastics,1,0,2,3
Zou Kai,China,2008,Gymnastics,3,0,0,3
Simona Amânar,Romania,2000,Gymnastics,2,0,1,3
Guo Yue,China,2008,Table Tennis,1,0,1,2
Venus Williams,United States,2000,Tennis,2,0,0,2
Chad le Clos,South Africa,2012,Swimming,1,1,0,2
Julia Smit,United States,2008,Swimming,0,1,1,2
Ryan Lochte,United States,2004,Swimming,1,1,0,2
Brooke Bennett,United States,2000,Swimming,2,0,0,2
Grant Hackett,Australia,2000,Swimming,2,0,0,2
Ed Moses,United States,2000,Swimming,1,1,0,2
Simon Ammann,Switzerland,2002,Ski Jumping,2,0,0,2
Matti Hautamäki,Finland,2002,Ski Jumping,0,1,1,2
Jaakko Tallus,Finland,2002,Nordic Combined,1,1,0,2
Yelena Produnova,Russia,2000,Gymnastics,0,1,1,2
Yang Wei,China,2000,Gymnastics,1,1,0,2
Andrea Cassarà,Italy,2004,Fencing,1,0,1,2
Laura Trott,Great Britain,2012,Cycling,2,0,0,2
Jason Kenny,Great Britain,2008,Cycling,1,1,0,2
Anna Meares,Australia,2004,Cycling,1,0,1,2
Jeremy Wariner,United States,2004,Athletics,2,0,0,2
Anja Pärson,Sweden,2002,Alpine Skiing,0,1,1,2
Kim Nam-Sun,South Korea,2000,Archery,1,1,0,2
Artur Aleksanyan,Armenia,2012,Wrestling,0,0,1,1
Mariya Stadnik,Azerbaijan,2008,Wrestling,0,0,1,1
Wang Jiao,China,2008,Wrestling,1,0,0,1
Mavlet Batyrov,Russia,2004,Wrestling,1,0,0,1
Kaori Icho,Japan,2004,Wrestling,1,0,0,1
Makhach Murtazaliyev,Russia,2004,Wrestling,0,0,1,1
Ramaz Nozadze,Georgia,2004,Wrestling,0,1,0,1
Garrett Lowney,United States,2000,Wrestling,0,0,1,1
Razvan Martin,Romania,2012,Weightlifting,0,0,1,1
Om Yun-Chol,North Korea,2012,Weightlifting,1,0,0,1
Andrey Aryamnov,Belarus,2008,Weightlifting,1,0,0,1
Ilya Ilyin,Kazakhstan,2008,Weightlifting,1,0,0,1
Liao Hui,China,2008,Weightlifting,1,0,0,1
Tigran G. Martirosyan,Armenia,2008,Weightlifting,0,0,1,1
Irina Nekrasova,Kazakhstan,2008,Weightlifting,0,1,0,1
Sibel Özkan,Turkey,2008,Weightlifting,0,1,0,1
Triyatno,Indonesia,2008,Weightlifting,0,0,1,1
Nadezhda Yevstyukhina,Russia,2008,Weightlifting,0,0,1,1
Jang Mi-Ran,South Korea,2004,Weightlifting,0,1,0,1
Nurcan Taylan,Turkey,2004,Weightlifting,1,0,0,1
Ding Meiyuan,China,2000,Weightlifting,1,0,0,1
Andrea Blas,Spain,2012,Waterpolo,0,1,0,1
Annika Dries,United States,2012,Waterpolo,1,0,0,1
Aleksa Šaponjic,Serbia,2012,Waterpolo,0,0,1,1
J. W. Krumpholz,United States,2008,Waterpolo,0,1,0,1
Anthi Mylonaki,Greece,2004,Waterpolo,0,1,0,1
Kelly Rulon,United States,2004,Waterpolo,0,0,1,1
Sofiya Konukh,Russia,2000,Waterpolo,0,0,1,1
Brenda Villa,United States,2000,Waterpolo,0,1,0,1
Maksim Mikhaylov,Russia,2008,Volleyball,0,0,1,1
Wang Yimei,China,2008,Volleyball,0,0,1,1
Daimí Ramírez,Cuba,2004,Volleyball,0,0,1,1
Dulce Téllez,Cuba,2004,Volleyball,0,0,1,1
Kiki,Brazil,2000,Volleyball,0,0,1,1
Chen Qi,China,2004,Table Tennis,1,0,0,1
Wang Hao,China,2004,Table Tennis,0,1,0,1
Sun Jin,China,2000,Table Tennis,0,1,0,1
Karen Cockburn,Canada,2000,Trampoline,0,0,1,1
Lee Dae-Hun,South Korea,2012,Taekwondo,0,1,0,1
Milica Mandic,Serbia,2012,Taekwondo,1,0,0,1
María Espinoza,Mexico,2008,Taekwondo,1,0,0,1
Son Tae-Jin,South Korea,2008,Taekwondo,1,0,0,1
Nia Abdallah,United States,2004,Taekwondo,0,1,0,1
Song Myeong-Seop,South Korea,2004,Taekwondo,0,0,1,1
Jung Jae-Eun,South Korea,2000,Taekwondo,1,0,0,1
Mikhail Mouroutsos,Greece,2000,Taekwondo,1,0,0,1
Sin Jun-Sik,South Korea,2000,Taekwondo,0,1,0,1
Mario Ancic,Croatia,2004,Tennis,0,0,1,1
Chen Xiaojun,China,2012,Synchronized Swimming,0,1,0,1
Irene Montrucchio,Spain,2012,Synchronized Swimming,0,0,1,1
Laura López,Spain,2008,Synchronized Swimming,0,1,0,1
Luo Xi,China,2008,Synchronized Swimming,0,0,1,1
Mariya Gromova,Russia,2004,Synchronized Swimming,1,0,0,1
Sara Lowe,United States,2004,Synchronized Swimming,0,0,1,1
Ayano Egami,Japan,2000,Synchronized Swimming,0,1,0,1
Olga Vasyukova,Russia,2000,Synchronized Swimming,1,0,0,1
Haley Anderson,United States,2012,Swimming,0,1,0,1
Cate Campbell,Australia,2012,Swimming,1,0,0,1
Dai Jun,China,2012,Swimming,0,0,1,1
Dan Izotov,Russia,2012,Swimming,0,0,1,1
Jiang Haiqi,China,2012,Swimming,0,0,1,1
Breeja Larson,United States,2012,Swimming,1,0,0,1
Vladimir Morozov,Russia,2012,Swimming,0,0,1,1
Shannon Vreeland,United States,2012,Swimming,1,0,0,1
Yuliya Yefimova,Russia,2012,Swimming,0,0,1,1
Ricky Berens,United States,2008,Swimming,1,0,0,1
Lotte Friis,Denmark,2008,Swimming,0,0,1,1
Femke Heemskerk,Netherlands,2008,Swimming,1,0,0,1
Sara Isakovic,Slovenia,2008,Swimming,0,1,0,1
Keri-Anne Payne,Great Britain,2008,Swimming,0,1,0,1
Federica Pellegrini,Italy,2008,Swimming,1,0,0,1
Aleksandr Sukhorukov,Russia,2008,Swimming,0,1,0,1
Dave Walters,United States,2008,Swimming,1,0,0,1
Georgina Bardach,Argentina,2004,Swimming,0,0,1,1
Lyndon Ferns,South Africa,2004,Swimming,1,0,0,1
Luo Xuejuan,China,2004,Swimming,1,0,0,1
Carly Piper,United States,2004,Swimming,1,0,0,1
Peter Vanderkaay,United States,2004,Swimming,1,0,0,1
Xu Yanwei,China,2004,Swimming,0,1,0,1
Tommy Hannan,United States,2000,Swimming,1,0,0,1
Carlos Jayme,Brazil,2000,Swimming,0,0,1,1
Johan Kenkhuis,Netherlands,2000,Swimming,0,0,1,1
Josefin Lillhage,Sweden,2000,Swimming,0,0,1,1
Justin Norris,Australia,2000,Swimming,0,0,1,1
Terence Parkin,South Africa,2000,Swimming,0,1,0,1
Roman Sludnov,Russia,2000,Swimming,0,0,1,1
Malin Svahnström,Sweden,2000,Swimming,0,0,1,1
Gwak Yun-Gi,South Korea,2010,Short-Track Speed Skating,0,1,0,1
Marie-Eve Drolet,Canada,2002,Short-Track Speed Skating,0,0,1,1
Nicola Rodigari,Italy,2002,Short-Track Speed Skating,0,1,0,1
Jan Blokhuijsen,Netherlands,2010,Speed Skating,0,0,1,1
Lee Sang-Hwa,South Korea,2010,Speed Skating,1,0,0,1
Trevor Marsicano,United States,2010,Speed Skating,0,1,0,1
Katarzyna Wozniak,Poland,2010,Speed Skating,0,0,1,1
Lee Gang-Seok,South Korea,2006,Speed Skating,0,0,1,1
Yekaterina Lobysheva,Russia,2006,Speed Skating,0,0,1,1
Denny Morrison,Canada,2006,Speed Skating,0,1,0,1
Christine Nesbitt,Canada,2006,Speed Skating,0,1,0,1
Justin Warsylewicz,Canada,2006,Speed Skating,0,1,0,1
Yukiyo Mine,Japan,2008,Softball,1,0,0,1
Eri Yamada,Japan,2004,Softball,0,0,1,1
Mariko Masubuchi,Japan,2000,Softball,0,1,0,1
Emi Naito,Japan,2000,Softball,0,1,0,1
Lindsey Jacobellis,United States,2006,Snowboarding,0,1,0,1
JJ Thomas,United States,2002,Snowboarding,0,0,1,1
Robert Kranjec,Slovenia,2002,Ski Jumping,0,0,1,1
Jessica Rossi,Italy,2012,Shooting,1,0,0,1
Katerina Kurková-Emmons,Czech Republic,2004,Shooting,0,0,1,1
Xu Lijia,China,2008,Sailing,0,0,1,1
Constantine Louloudis,Great Britain,2012,Rowing,0,0,1,1
Elle Logan,United States,2008,Rowing,1,0,0,1
Tom Lucy,Great Britain,2008,Rowing,0,1,0,1
Ioana Papuc-Rotaru,Romania,2004,Rowing,1,0,0,1
Silvijo Petriško,Croatia,2000,Rowing,0,0,1,1
Anastasiya Ivankova,Belarus,2012,Rhythmic Gymnastics,0,1,0,1
Chou Tao,China,2008,Rhythmic Gymnastics,0,1,0,1
Olesya Belugina,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Hanna Bezsonova,Ukraine,2004,Rhythmic Gymnastics,0,0,1,1
Nataliya Lavrova,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Yelena Murzina,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Irina Ilenkova,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Alessandro Pittin,Italy,2010,Nordic Combined,0,0,1,1
Felix Loch,Germany,2010,Luge,1,0,0,1
Priscilla Gneto,France,2012,Judo,0,0,1,1
Lasha Shavdatuashvili,Georgia,2012,Judo,1,0,0,1
Mayra Silva,Brazil,2012,Judo,0,0,1,1
Elnur M?mm?dli,Azerbaijan,2008,Judo,1,0,0,1
Ketleyn Quadros,Brazil,2008,Judo,0,0,1,1
Roman Hontiuk,Ukraine,2004,Judo,0,1,0,1
Khashbaataryn Tsagaanbaatar,Mongolia,2004,Judo,0,0,1,1
Ann Simons,Belgium,2000,Judo,0,0,1,1
Drew Doughty,Canada,2010,Ice Hockey,1,0,0,1
Rebecca Johnston,Canada,2010,Ice Hockey,1,0,0,1
Hilary Knight,United States,2010,Ice Hockey,0,1,0,1
Jocelyne Lamoureux,United States,2010,Ice Hockey,0,1,0,1
Monique Lamoureux,United States,2010,Ice Hockey,0,1,0,1
Annina Rajahuhta,Finland,2010,Ice Hockey,0,0,1,1
Noora Räty,Finland,2010,Ice Hockey,0,0,1,1
Caitlin Cahow,United States,2006,Ice Hockey,0,0,1,1
Kristina Lundberg,Sweden,2006,Ice Hockey,0,1,0,1
Rostislav Olesz,Czech Republic,2006,Ice Hockey,0,0,1,1
Helen Resor,United States,2006,Ice Hockey,0,0,1,1
Katarina Timglas,Sweden,2006,Ice Hockey,0,1,0,1
Sarah Vaillancourt,Canada,2006,Ice Hockey,1,0,0,1
Lyndsay Wall,United States,2006,Ice Hockey,0,0,1,1
Anna Andersson,Sweden,2002,Ice Hockey,0,0,1,1
Cherie Piper,Canada,2002,Ice Hockey,1,0,0,1
Therese Sjölander,Sweden,2002,Ice Hockey,0,0,1,1
Krissy Wendell,United States,2002,Ice Hockey,0,1,0,1
Florian Fuchs,Germany,2012,Hockey,1,0,0,1
Sergi Enrique,Spain,2008,Hockey,0,1,0,1
Tobias Hauke,Germany,2008,Hockey,1,0,0,1
Seo Jong-Ho,South Korea,2000,Hockey,0,1,0,1
Craig Victory,Australia,2000,Hockey,0,0,1,1
Suzana Lazovic,Montenegro,2012,Handball,0,1,0,1
Bae Min-Hee,South Korea,2008,Handball,0,0,1,1
Kseniya Afanasyeva,Russia,2012,Gymnastics,0,1,0,1
Deng Linlin,China,2012,Gymnastics,1,0,0,1
He Kexin,China,2012,Gymnastics,0,1,0,1
Danell Leyva,United States,2012,Gymnastics,0,0,1,1
Sui Lu,China,2012,Gymnastics,0,1,0,1
Fabian Hambüchen,Germany,2008,Gymnastics,0,0,1,1
Chellsie Memmel,United States,2008,Gymnastics,0,1,0,1
Alicia Sacramone,United States,2008,Gymnastics,0,1,0,1
Razvan Selariu,Romania,2004,Gymnastics,0,0,1,1
Claudia Presacan,Romania,2000,Gymnastics,1,0,0,1
Benjamin Varonian,France,2000,Gymnastics,0,1,0,1
Baek Seong-Dong,South Korea,2012,Football,0,0,1,1
Neymar,Brazil,2012,Football,0,1,0,1
Oscar,Brazil,2012,Football,0,1,0,1
Lautaro Acosta,Argentina,2008,Football,1,0,0,1
Sergio Agüero,Argentina,2008,Football,1,0,0,1
Ânderson,Brazil,2008,Football,0,0,1,1
Victor Anichebe,Nigeria,2008,Football,0,1,0,1
Lira Bajramaj,Germany,2008,Football,0,0,1,1
Éver Banega,Argentina,2008,Football,1,0,0,1
Bárbara,Brazil,2008,Football,0,1,0,1
Diego Buonanotte,Argentina,2008,Football,1,0,0,1
Lauren Cheney,United States,2008,Football,1,0,0,1
Ángel Di María,Argentina,2008,Football,1,0,0,1
Emmanuel Ekpo,Nigeria,2008,Football,0,1,0,1
Érika,Brazil,2008,Football,0,1,0,1
Tobin Heath,United States,2008,Football,1,0,0,1
Promise Isaac,Nigeria,2008,Football,0,1,0,1
Marcelo,Brazil,2008,Football,0,0,1,1
Célia Okoyino da Mbabi,Germany,2008,Football,0,0,1,1
Babett Peter,Germany,2008,Football,0,0,1,1
Édgar Barreto,Paraguay,2004,Football,0,1,0,1
Ernesto Cristaldo,Paraguay,2004,Football,0,1,0,1
Daniela,Brazil,2004,Football,0,1,0,1
Javier Mascherano,Argentina,2004,Football,1,0,0,1
Lindsay Tarpley,United States,2004,Football,1,0,0,1
Carlos Tévez,Argentina,2004,Football,1,0,0,1
Nicolas Alnoudji,Cameroon,2000,Football,1,0,0,1
Cristián Álvarez,Chile,2000,Football,0,0,1,1
Daniel Aranzubia,Spain,2000,Football,0,1,0,1
Serge Branco,Cameroon,2000,Football,1,0,0,1
Claudio Maldonado,Chile,2000,Football,0,0,1,1
Daniel Ngom Kome,Cameroon,2000,Football,1,0,0,1
Rodrigo Tello,Chile,2000,Football,0,0,1,1
Xavi,Spain,2000,Football,0,1,0,1
Tessa Virtue,Canada,2010,Figure Skating,1,0,0,1
Stéphane Lambiel,Switzerland,2006,Figure Skating,0,1,0,1
Zhang Dan,China,2006,Figure Skating,0,1,0,1
Deidra Dionne,Canada,2002,Freestyle Skiing,0,0,1,1
Xu Anqi,China,2012,Fencing,1,0,0,1
Halyna Pundyk,Ukraine,2008,Fencing,1,0,0,1
Tan Xue,China,2004,Fencing,0,1,0,1
Aleksey Yakimenko,Russia,2004,Fencing,0,0,1,1
Tatyana Logunova,Russia,2000,Fencing,1,0,0,1
Jennifer Abel,Canada,2012,Diving,0,0,1,1
Nick McCrory,United States,2012,Diving,0,0,1,1
Germán Sánchez,Mexico,2012,Diving,0,1,0,1
Illia Kvasha,Ukraine,2008,Diving,0,0,1,1
Matt Mitcham,Australia,2008,Diving,1,0,0,1
Zhou Luxin,China,2008,Diving,0,1,0,1
Bryan Coquard,France,2012,Cycling,0,1,0,1
Annette Edmondson,Australia,2012,Cycling,0,0,1,1
Jasmin Glaesser,Canada,2012,Cycling,0,0,1,1
Lasse Norman Hansen,Denmark,2012,Cycling,1,0,0,1
Michael Hepburn,Australia,2012,Cycling,0,1,0,1
Mariana Pajón,Colombia,2012,Cycling,1,0,0,1
Sam Willoughby,Australia,2012,Cycling,0,1,0,1
Steven Burke,Great Britain,2008,Cycling,0,0,1,1
Westley Gough,New Zealand,2008,Cycling,0,0,1,1
Lesia Kalytovska,Ukraine,2008,Cycling,0,0,1,1
Jesse Sergent,New Zealand,2008,Cycling,0,0,1,1
Bradley Wiggins,Great Britain,2000,Cycling,0,0,1,1
Aleksandr Panzhinsky,Russia,2010,Cross Country Skiing,0,1,0,1
Tim Tscharnke,Germany,2010,Cross Country Skiing,0,1,0,1
Daniel Havel,Czech Republic,2012,Canoeing,0,0,1,1
Olga Khudenko,Belarus,2012,Canoeing,0,0,1,1
Aleksey Korovashkov,Russia,2012,Canoeing,0,0,1,1
Peter Kretschmer,Germany,2012,Canoeing,1,0,0,1
Andrey Bogdanovich,Belarus,2008,Canoeing,1,0,0,1
Artur Litvinchuk,Belarus,2008,Canoeing,1,0,0,1
Yang Wenjun,China,2004,Canoeing,1,0,0,1
Erzsébet Viski,Hungary,2000,Canoeing,0,1,0,1
Brett Anderson,United States,2008,Baseball,0,0,1,1
Trevor Cahill,United States,2008,Baseball,0,0,1,1
Kim Gwang-Hyeon,South Korea,2008,Baseball,1,0,0,1
Kim Hyeon-Su,South Korea,2008,Baseball,1,0,0,1
Stephen Strasburg,United States,2008,Baseball,0,0,1,1
Yulieski Gourriel,Cuba,2004,Baseball,1,0,0,1
Nick Kimpton,Australia,2004,Baseball,0,1,0,1
Richard Thompson,Australia,2004,Baseball,0,1,0,1
Sean Burroughs,United States,2000,Baseball,1,0,0,1
Yasser Gómez,Cuba,2000,Baseball,0,1,0,1
Maels Rodríguez,Cuba,2000,Baseball,0,1,0,1
Michael Conlan,Ireland,2012,Boxing,0,0,1,1
Nyambayaryn Tögstsogt,Mongolia,2012,Boxing,0,1,0,1
Evaldas Petrauskas,Lithuania,2012,Boxing,0,0,1,1
Vasyl Lomachenko,Ukraine,2008,Boxing,1,0,0,1
Yerkebulan Shynaliyev,Kazakhstan,2008,Boxing,0,0,1,1
Ionut Gheorghe,Romania,2004,Boxing,0,0,1,1
Kim Song-Guk,North Korea,2004,Boxing,0,1,0,1
Aleksey Tishchenko,Russia,2004,Boxing,1,0,0,1
André Ward,United States,2004,Boxing,1,0,0,1
Andriy Fedchuk,Ukraine,2000,Boxing,0,0,1,1
Ricardo Juarez,United States,2000,Boxing,0,1,0,1
Kim Un-Chol,North Korea,2000,Boxing,0,0,1,1
Bekzat Sattarkhanov,Kazakhstan,2000,Boxing,1,0,0,1
Tahar Tamsamani,Morocco,2000,Boxing,0,0,1,1
Liz Cambage,Australia,2012,Basketball,0,0,1,1
Rachel Jarry,Australia,2012,Basketball,0,0,1,1
Yekaterina Lisina,Russia,2008,Basketball,0,0,1,1
Carmelo Anthony,United States,2004,Basketball,0,0,1,1
Laura Summerton-Hodges,Australia,2004,Basketball,0,1,0,1
Kelly,Brazil,2000,Basketball,0,0,1,1
Sony Dwi Kuncoro,Indonesia,2004,Badminton,0,0,1,1
Kemar Bailey-Cole,Jamaica,2012,Athletics,1,0,0,1
Gamze Bulut,Turkey,2012,Athletics,0,1,0,1
Diamond Dixon,United States,2012,Athletics,1,0,0,1
Yelena Lashmanova,Russia,2012,Athletics,1,0,0,1
Josh Mance,United States,2012,Athletics,0,1,0,1
Wang Zhen,China,2012,Athletics,0,0,1,1
Denis Alekseyev,Russia,2008,Athletics,0,0,1,1
Keston Bledman,Trinidad and Tobago,2008,Athletics,0,1,0,1
Tatyana Chernova,Russia,2008,Athletics,0,0,1,1
Leonel Suárez,Cuba,2008,Athletics,0,0,1,1
Meseret Defar,Ethiopia,2004,Athletics,1,0,0,1
Olusoji Fasuba,Nigeria,2004,Athletics,0,0,1,1
Godday James,Nigeria,2004,Athletics,0,0,1,1
Sherone Simpson,Jamaica,2004,Athletics,1,0,0,1
Lauryn Williams,United States,2004,Athletics,0,1,0,1
Xing Huina,China,2004,Athletics,1,0,0,1
Sanjay Ayre,Jamaica,2000,Athletics,0,1,0,1
Fidelis Gadzama,Nigeria,2000,Athletics,1,0,0,1
Osleidys Menéndez,Cuba,2000,Athletics,0,0,1,1
Viktoria Rebensburg,Germany,2010,Alpine Skiing,1,0,0,1
Kaori Kawanaka,Japan,2012,Archery,0,0,1,1
Mauro Nespoli,Italy,2008,Archery,0,1,0,1
Dmytro Hrachov,Ukraine,2004,Archery,0,0,1,1
Kim Cheong-Tae,South Korea,2000,Archery,1,0,0,1
Natalie Coughlin,United States,2004,Swimming,2,2,1,5
Ian Thorpe,Australia,2004,Swimming,2,1,1,4
Ranomi Kromowidjojo,Netherlands,2012,Swimming,2,1,0,3
Satomi Suzuki,Japan,2012,Swimming,0,1,2,3
Andrew Lauterstein,Australia,2008,Swimming,0,1,2,3
Jess Schipper,Australia,2008,Swimming,1,0,2,3
Rebecca Soni,United States,2008,Swimming,1,2,0,3
Ian Crocker,United States,2004,Swimming,1,1,1,3
Kosuke Kitajima,Japan,2004,Swimming,2,0,1,3
Aaron Peirsol,United States,2004,Swimming,3,0,0,3
Kaitlin Sandeno,United States,2004,Swimming,1,1,1,3
Stephanie Beckert,Germany,2010,Speed Skating,1,2,0,3
Paul Hamm,United States,2004,Gymnastics,1,2,0,3
Svetlana Khorkina,Russia,2000,Gymnastics,1,2,0,3
Usain Bolt,Jamaica,2008,Athletics,3,0,0,3
Wang Nan,China,2000,Table Tennis,2,0,0,2
Alison Bartosik,United States,2004,Synchronized Swimming,0,0,2,2
Anastasiya Davydova,Russia,2004,Synchronized Swimming,2,0,0,2
Anastasiya Yermakova,Russia,2004,Synchronized Swimming,2,0,0,2
Olga Brusnikina,Russia,2000,Synchronized Swimming,2,0,0,2
Mireia Belmonte,Spain,2012,Swimming,0,2,0,2
James Magnussen,Australia,2012,Swimming,0,1,1,2
César Cielo Filho,Brazil,2008,Swimming,1,0,1,2
Mel Schlanger,Australia,2008,Swimming,1,0,1,2
Geoff Huegill,Australia,2000,Swimming,0,1,1,2
Mai Nakamura,Japan,2000,Swimming,0,1,1,2
Katherine Reutter,United States,2010,Short-Track Speed Skating,0,1,1,2
Choi Eun-Gyeong,South Korea,2006,Short-Track Speed Skating,1,1,0,2
Anouk Leblanc-Boucher,Canada,2006,Short-Track Speed Skating,0,1,1,2
Lee Seung-Hun,South Korea,2010,Speed Skating,1,1,0,2
Mo Tae-Beom,South Korea,2010,Speed Skating,1,1,0,2
Andreas Kofler,Austria,2006,Ski Jumping,1,1,0,2
Liu Xuan,China,2000,Gymnastics,1,0,1,2
Wiradech Kothny,Germany,2000,Fencing,0,0,2,2
He Zi,China,2012,Diving,1,1,0,2
Ilya Zakharov,Russia,2012,Diving,1,1,0,2
Tian Liang,China,2000,Diving,1,1,0,2
Evi Sachenbacher-Stehle,Germany,2002,Cross Country Skiing,1,1,0,2
David Cal,Spain,2004,Canoeing,1,1,0,2
Szilvia Szabó,Hungary,2000,Canoeing,0,2,0,2
Marie Laure Brunet,France,2010,Biathlon,0,1,1,2
Gao Ling,China,2000,Badminton,1,0,1,2
Will Claye,United States,2012,Athletics,0,1,1,2
Park Seong-Hyeon,South Korea,2004,Archery,2,0,0,2
Vladimer Khinchegashvili,Georgia,2012,Wrestling,0,1,0,1
Dato Marsagishvili,Georgia,2012,Wrestling,0,0,1,1
Roman Vlasov,Russia,2012,Wrestling,1,0,0,1
Nataliya Vorobyova,Russia,2012,Wrestling,1,0,0,1
Bakhtiyar Akhmedov,Russia,2008,Wrestling,0,1,0,1
Rövs?n Bayramov,Azerbaijan,2008,Wrestling,0,1,0,1
Henry Cejudo,United States,2008,Wrestling,1,0,0,1
Yelena Shalygina,Kazakhstan,2008,Wrestling,0,0,1,1
Khasan Baroyev,Russia,2004,Wrestling,1,0,0,1
Khadzhimurat Gatsalov,Russia,2004,Wrestling,1,0,0,1
Magamed Ibragimov,Uzbekistan,2004,Wrestling,0,1,0,1
Jeong Ji-Hyeon,South Korea,2004,Wrestling,1,0,0,1
Saori Yoshida,Japan,2004,Wrestling,1,0,0,1
Varteres Samurgashev,Russia,2000,Wrestling,1,0,0,1
Artur Taymazov,Uzbekistan,2000,Wrestling,0,1,0,1
